A Kind of Murder,Crime;Drama;Thriller,Andy Goddard,2016,95,0.0
Dead Awake,Horror;Thriller,Phillip Guzman,2016,99,0.01
Into the Forest,Drama;Sci-Fi;Thriller,Patricia Rozema,2015,101,0.01
Love  Rosie,Comedy;Romance,Christian Ditter,2014,102,0.01
Lovesong,Drama,So Yong Kim,2016,84,0.01
Wakefield,Drama,Robin Swicord,2016,106,0.01
Stake Land,Drama;Horror;Sci-Fi,Jim Mickle,2010,98,0.02
The Blackcoat's Daughter,Horror;Thriller,Oz Perkins,2015,93,0.02
The First Time,Comedy;Drama;Romance,Jon Kasdan,2012,95,0.02
The Sea of Trees,Drama,Gus Van Sant,2015,110,0.02
Equals,Drama;Romance;Sci-Fi,Drake Doremus,2015,101,0.03
Filth,Comedy;Crime;Drama,Jon S. Baird,2013,97,0.03
King Cobra,Crime;Drama,Justin Kelly,2016,91,0.03
Knock Knock,Drama;Horror;Thriller,Eli Roth,2015,99,0.03
Mr. Right,Action;Comedy;Romance,Paco Cabezas,2015,95,0.03
Sleeping Beauty,Drama;Romance,Julia Leigh,2011,101,0.03
The Daughter,Drama,Simon Stone,2015,96,0.03
A Street Cat Named Bob,Biography;Comedy;Drama,Roger Spottiswoode,2016,103,0.04
Bastille Day,Action;Crime;Drama,James Watkins,2016,92,0.04
Before We Go,Comedy;Drama;Romance,Chris Evans,2014,95,0.04
The Babysitters,Drama,David Ross,2007,88,0.04
Clown,Horror;Thriller,Jon Watts,2014,100,0.05
Half of a Yellow Sun,Drama;Romance,Biyi Bandele,2013,111,0.05
Regression,Crime;Drama;Mystery,Alejandro Amenabar,2015,106,0.05
Turbo Kid,Action;Adventure;Comedy,François Simard,2015,93,0.05
The Road,Adventure;Drama,John Hillcoat,2009,111,0.06
Trust,Crime;Drama;Thriller,David Schwimmer,2010,106,0.06
Coherence,Mystery;Sci-Fi;Thriller,James Ward Byrkit,2013,89,0.07
The Midnight Meat Train,Horror;Mystery,Ryûhei Kitamura,2008,98,0.07
Il racconto dei racconti - Tale of Tales,Drama;Fantasy;Horror,Matteo Garrone,2015,133,0.08
I Spit on Your Grave,Crime;Horror;Thriller,Steven R. Monroe,2010,108,0.09
La migliore offerta,Crime;Drama;Mystery,Giuseppe Tornatore,2013,131,0.09
Bronson,Action;Biography;Crime,Nicolas Winding Refn,2008,92,0.1
Chuck,Biography;Drama;Sport,Philippe Falardeau,2016,98,0.11
Kynodontas,Drama;Thriller,Yorgos Lanthimos,2009,94,0.11
Centurion,Action;Adventure;Drama,Neil Marshall,2010,97,0.12
Bacalaureat,Crime;Drama,Cristian Mungiu,2016,128,0.13
Hunger,Biography;Drama,Steve McQueen,2008,96,0.15
Kicks,Adventure,Justin Tipping,2016,80,0.15
The Void,Horror;Mystery;Sci-Fi,Jeremy Gillespie,2016,90,0.15
Horns,Drama;Fantasy;Horror,Alexandre Aja,2013,120,0.16
The Human Centipede (First Sequence),Horror,Tom Six,2009,92,0.18
10 Years,Comedy;Drama;Romance,Jamie Linden,2011,100,0.2
White Girl,Drama,Elizabeth Wood,2016,88,0.2
The Love Witch,Comedy;Horror,Anna Biller,2016,120,0.22
The Invitation,Drama;Mystery;Thriller,Karyn Kusama,2015,100,0.23
Carol,Drama;Romance,Todd Haynes,2015,118,0.25
Ma vie de Courgette,Animation;Comedy;Drama,Claude Barras,2016,66,0.29
Christine,Biography;Drama,Antonio Campos,2016,119,0.3
Adoration,Drama;Romance,Anne Fontaine,2013,112,0.32
Bonjour Anne,Comedy;Drama;Romance,Eleanor Coppola,2016,92,0.32
Super,Comedy;Drama,James Gunn,2010,96,0.32
The Guest,Thriller,Adam Wingard,2014,100,0.32
I Origins,Drama;Romance;Sci-Fi,Mike Cahill,2014,106,0.33
Nymphomaniac: Vol. II,Drama,Lars von Trier,2013,123,0.33
High-Rise,Drama,Ben Wheatley,2015,119,0.34
Antichrist,Drama;Horror,Lars von Trier,2009,108,0.4
